pedido_id,data,categoria,produto,quantidade,preco_unitario
1000,2024-01-01,Eletrônicos,Fone Bluetooth,3,243.62
1001,2024-01-02,Eletrônicos,Fone Bluetooth,4,238.29
1002,2024-01-03,Móveis,Estante,5,457.27
1003,2024-01-03,Móveis,Estante,5,476.14
1004,2024-01-05,Eletrônicos,Notebook,4,3444.09
1005,2024-01-05,Móveis,Cadeira Ergonômica,3,864.2
1006,2024-01-05,Esportes,Bicicleta,3,1862.55
1007,2024-01-08,Eletrônicos,Fone Bluetooth,4,250.91
1008,2024-01-08,Esportes,Bicicleta,5,1762.77
1009,2024-01-08,Papelaria,Agenda,2,56.13
1010,2024-01-09,Papelaria,Caderno,2,25.92
1011,2024-01-09,Esportes,Tênis de Corrida,4,425.7
1012,2024-01-11,Papelaria,Kit Canetas,2,40.68
1013,2024-01-11,Eletrônicos,Fone Bluetooth,2,250.85
1014,2024-01-12,Esportes,Tênis de Corrida,3,440.56
1015,2024-01-12,Móveis,Estante,3,496.46
1016,2024-01-13,Eletrônicos,Smartphone,4,2148.9
1017,2024-01-13,Móveis,Estante,3,466.21
1018,2024-01-15,Esportes,Bicicleta,3,1735.13
1019,2024-01-15,Papelaria,Agenda,5,54.61
1020,2024-01-15,Esportes,Tênis de Corrida,2,440.89
1021,2024-01-15,Móveis,Estante,4,460.36
1022,2024-01-16,Móveis,Estante,2,494.02
1023,2024-01-18,Esportes,Tênis de Corrida,5,440.84
1024,2024-01-21,Eletrônicos,Fone Bluetooth,1,254.54
1025,2024-01-21,Papelaria,Agenda,3,52.86
1026,2024-01-21,Esportes,Bicicleta,4,1710.58
1027,2024-01-24,Móveis,Estante,1,497.78
1028,2024-01-24,Papelaria,Agenda,5,55.6
1029,2024-01-24,Móveis,Mesa de Escritório,2,752.95
1030,2024-01-27,Papelaria,Kit Canetas,1,38.45
1031,2024-01-29,Móveis,Cadeira Ergonômica,2,934.02
1032,2024-01-29,Eletrônicos,Notebook,4,3610.61
1033,2024-01-29,Móveis,Cadeira Ergonômica,4,940.22
1034,2024-01-30,Esportes,Bicicleta,5,1845.95
1035,2024-01-30,Móveis,Estante,3,475.15
1036,2024-01-30,Papelaria,Kit Canetas,5,39.81
1037,2024-01-31,Eletrônicos,Smartphone,1,2219.43
1038,2024-01-31,Móveis,Estante,2,456.35
